'NLA.MF05.half_radius_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF05.spectral_hausdorff_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF05.general_root_limit_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF05.positive_scaling_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.bounded_envelope_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.tail_seminorm_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.stable_gauge_max_recurrence' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.stable_kernel_exponential' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.cone_numerical_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.product_bounded_lower_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.separated_sum_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.block_radius_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.block_nonresonance_product_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.irreducible_radius_one_product_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.irreducible_flag' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.similarity_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_dimensions' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_coordinate_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_algebra' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_norm_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_local_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.tensor_algebra' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.tensor_norm_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.allocation_dimensions' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.allocation_algebra' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.allocation_product_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_allocation_radius' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.distinct_allocation_degrees' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.allocation_tensor_norm_bridge' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.critical_allocation_nonresonance' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_nonresonance_product_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_family_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.critical_compound_product_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.compound_hausdorff_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.positive_hausdorff_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.root_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.normalized_pointwise_lower_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF06.canonical_pointwise_lower_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
