'NLA.MF14Degree44.canonical_gate_padding' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.four_prefix_full_coefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.three_product_tuple' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.good_border_parameters_eventually' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.fourth_span_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.fourth_map_smooth' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.fourth_jacobian_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.fourth_minor_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.fourth_product_joint_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.polynomial_density_of_strict_derivative' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.degeneration_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.degeneration_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.degeneration_in_span' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.monic_border_joint_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.continuation_actual_output' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.continuation_degree_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.continuation_closure_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.family_image_mem_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.family_degree_and_full_vector' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.coefficient_map_smooth' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.coefficient_jacobian_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.integer_jacobian_mod3_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.coefficient_derivative_bijective' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.degree44_coverage' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF14Degree44.original_equality_false' depends on axioms: [propext, Classical.choice, Quot.sound]
