'NLA.MF18.certified_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.stability_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.pencil_evaluation' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.pencil_degree_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.positive_average_and_sign' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.homotopy_boundary_nonvanishing' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.cayley_degree_and_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.cayley_boundary_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.monic_half_plane_count_homotopy' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.bounded_degree_disk_count_homotopy' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.regularized_root_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.solution_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.complementary_stability' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.closed_disk_stability_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.limiting_equation_and_spectra' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.reciprocal_count_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.selected_spectrum_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.stein_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.simple_unit_root_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.generalized_stein_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.stable_space_dimension' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.stable_space_in_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.stein_rank_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.full_complex_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF18.canonical_full_complex_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
