info: MF21/LogSquaredMesh.lean:153:0: 'MF21Mesh.log_squared_ratio_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/LogSquaredMesh.lean:154:0: 'MF21Mesh.cutoff_ratio_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/LogSquaredMesh.lean:155:0: 'MF21Mesh.index_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/LogSquaredMesh.lean:156:0: 'MF21Mesh.mesh_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/LogSquaredMesh.lean:157:0: 'MF21Mesh.mesh_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SmoothQuantization.lean:125:0: 'MF21Quantization.exists_local_smooth_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SmoothQuantization.lean:127:0: 'MF21Quantization.implicit_symbol_diagonal_profile' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/UniformTaylor.lean:200:0: 'MF21Taylor.slice_iteratedDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/UniformTaylor.lean:201:0: 'MF21Taylor.coefficient_continuous' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/UniformTaylor.lean:203:0: 'MF21Taylor.uniform_taylor_bound_on' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/UniformTaylor.lean:205:0: 'MF21Taylor.coefficient_continuousOn' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/UniformTaylor.lean:206:0: 'MF21Taylor.taylor_profile_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/UniformTaylor.lean:208:0: 'MF21Taylor.coefficient_contDiffAt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRoots.lean:182:0: 'MF21Bulk.no_unit_characteristic_root' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRoots.lean:183:0: 'MF21Bulk.exists_stable_characteristic_root' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRoots.lean:184:0: 'MF21Bulk.stable_characteristic_root_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRoots.lean:185:0: 'MF21Bulk.stable_characteristic_root_simple' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRoots.lean:186:0: 'MF21Bulk.stableRoot_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRoots.lean:187:0: 'MF21Bulk.local_characteristic_root' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkRoots.lean:188:0: 'MF21Bulk.stableRoot_contDiffAt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ToeplitzGram.lean:200:0: 'MF21Challenge.choose_shift_convolution' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ToeplitzGram.lean:201:0: 'MF21Challenge.unsigned_difference_correlation' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ToeplitzGram.lean:202:0: 'MF21Challenge.difference_correlation' depends on axioms: [propext, Classical.choice, Quot.sound]
