'NLA.MI28.half_exponent_interval' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.product_modulus_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.swapped_modulus' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.normalized_posdef' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.furuta_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.furuta_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.lower_power_implication' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.higher_power_implication' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.swap_implication' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.small_base_implication' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.small_base_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.large_base_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.normalized_homogeneity' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.normalized_norm_continuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.full_log_majorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.log_one_add_tangent' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.product_one_add_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.determinant_normalization' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.determinant_reality_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI28.determinant_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
